Eutrochium maculatum
Cicuta maculata
Apocynum androsaemifolium
Rhus typhina
Maianthemum stellatum
Viola striata
Acer pensylvanicum
Acer saccharum
Lupinus perennis
Lonicera oblongifolia
Asclepias incarnata
Ribes triste
Rosa palustris
Persicaria hydropiperoides
Quercus bicolor
Decodon verticillatus
Betula lenta
Viola blanda
Comptonia peregrina
Eutrochium purpureum
Solidago altissima
Tridens flavus
Equisetum hyemale
Parthenocissus inserta
Coptis trifolia
Bidens tripartita
Schoenoplectus pungens
Juncus bufonius
Zanthoxylum americanum
Epigaea repens
Deschampsia caespitosa
Liriodendron tulipifera
Oxalis stricta
Equisetum variegatum
Pycnanthemum virginianum
Rosa virginiana
Claytonia virginica
Fragaria virginiana
Parthenocissus quinquefolia
Equisetum fluviatile
Persicaria amphibia
Calla palustris
Brasenia schreberi
Descurainia pinnata
Rubus flagellaris
Fraxinus americana
Actaea pachypoda
Leersia virginica
Symphyotrichum ericoides
Spiraea alba
Ageratina altissima
Picea glauca
Chelone glabra
Verbena urticifolia
Juglans cinerea
Asclepias verticillata
Phlox divaricata
Aralia nudicaulis
Antennaria plantaginifolia
Lilium philadelphicum
Equisetum sylvaticum
Helianthus divaricatus
Solidago caesia
Solidago rugosa
Betula alleghaniensis
Agastache nepetoides
Solidago flexicaulis
